Users,TotalCost,Throughput,TotalCores,ResponseTime,SelectedRate_Station2,SelectedRate_Station3,Status
10.0,5.0,5.0,5.0,2.0,1,1,OPTIMAL
12.8,21.943,7.314,5.486,1.75,1,2,OPTIMAL
21.2,70.666,14.133,7.067,1.5,2,2,OPTIMAL
35.0,116.666,23.333,11.667,1.5,2,2,OPTIMAL
54.2,180.666,36.133,18.067,1.5,2,2,OPTIMAL
78.5,261.667,52.333,26.167,1.5,2,2,OPTIMAL
107.7,359.0,71.8,35.9,1.5,2,2,OPTIMAL
141.3,1541.455,102.764,38.536,1.375,2,3,OPTIMAL
179.0,3580.0,143.2,35.8,1.25,3,3,OPTIMAL
220.5,4410.0,176.4,44.1,1.25,3,3,OPTIMAL
265.1,5302.0,212.08,53.02,1.25,3,3,OPTIMAL
312.5,6250.0,250.0,62.5,1.25,3,3,OPTIMAL
362.1,7242.0,289.68,72.42,1.25,3,3,OPTIMAL
413.3,8266.0,330.64,82.66,1.25,3,3,OPTIMAL
465.5,9310.0,372.4,93.1,1.25,3,3,OPTIMAL
518.2,10364.0,414.56,103.64,1.25,3,3,OPTIMAL
570.7,11414.0,456.56,114.14,1.25,3,3,OPTIMAL
622.5,12450.0,498.0,124.5,1.25,3,3,OPTIMAL
672.9,13458.0,538.32,134.58,1.25,3,3,OPTIMAL
721.5,14430.0,577.2,144.3,1.25,3,3,OPTIMAL
767.6,15352.0,614.08,153.52,1.25,3,3,OPTIMAL
810.7,16214.0,648.56,162.14,1.25,3,3,OPTIMAL
850.3,17006.0,680.24,170.06,1.25,3,3,OPTIMAL
886.1,17722.0,708.88,177.22,1.25,3,3,OPTIMAL
917.5,18350.0,734.0,183.5,1.25,3,3,OPTIMAL
944.2,18884.0,755.36,188.84,1.25,3,3,OPTIMAL
966.0,19320.0,772.8,193.2,1.25,3,3,OPTIMAL
982.6,19652.0,786.08,196.52,1.25,3,3,OPTIMAL
993.7,19874.0,794.96,198.74,1.25,3,3,OPTIMAL
999.3,19986.0,799.44,199.86,1.25,3,3,OPTIMAL
999.3,19986.0,799.44,199.86,1.25,3,3,OPTIMAL
993.7,19874.0,794.96,198.74,1.25,3,3,OPTIMAL
982.6,19652.0,786.08,196.52,1.25,3,3,OPTIMAL
966.0,19320.0,772.8,193.2,1.25,3,3,OPTIMAL
944.2,18884.0,755.36,188.84,1.25,3,3,OPTIMAL
917.5,18350.0,734.0,183.5,1.25,3,3,OPTIMAL
886.1,17722.0,708.88,177.22,1.25,3,3,OPTIMAL
850.3,17006.0,680.24,170.06,1.25,3,3,OPTIMAL
810.7,16214.0,648.56,162.14,1.25,3,3,OPTIMAL
767.6,15352.0,614.08,153.52,1.25,3,3,OPTIMAL
721.5,14430.0,577.2,144.3,1.25,3,3,OPTIMAL
672.9,13458.0,538.32,134.58,1.25,3,3,OPTIMAL
622.5,12450.0,498.0,124.5,1.25,3,3,OPTIMAL
570.7,11414.0,456.56,114.14,1.25,3,3,OPTIMAL
518.2,10364.0,414.56,103.64,1.25,3,3,OPTIMAL
465.5,9310.0,372.4,93.1,1.25,3,3,OPTIMAL
413.3,8266.0,330.64,82.66,1.25,3,3,OPTIMAL
362.1,7242.0,289.68,72.42,1.25,3,3,OPTIMAL
312.5,6250.0,250.0,62.5,1.25,3,3,OPTIMAL
265.1,5302.0,212.08,53.02,1.25,3,3,OPTIMAL
220.5,4410.0,176.4,44.1,1.25,3,3,OPTIMAL
179.0,3580.0,143.2,35.8,1.25,3,3,OPTIMAL
141.3,1541.455,102.764,38.536,1.375,2,3,OPTIMAL
107.7,359.0,71.8,35.9,1.5,2,2,OPTIMAL
78.5,261.667,52.333,26.167,1.5,2,2,OPTIMAL
54.2,180.666,36.133,18.067,1.5,2,2,OPTIMAL
35.0,116.666,23.333,11.667,1.5,2,2,OPTIMAL
21.2,70.666,14.133,7.067,1.5,2,2,OPTIMAL
12.8,21.943,7.314,5.486,1.75,1,2,OPTIMAL
10.0,5.0,5.0,5.0,2.0,1,1,OPTIMAL
